Science_Name,Name,Image_Url ,Red_list,Characteristic,Behavior,Habitat
Cervus unicolor,Nai,creature/animal/Cervus_unicolor.jpg,1,"Là một loài thú lớn thuộc họ Hươu, thân dài khoảng 1,8 tới 2 mét, vai cao 1,4 đến 1,6 mét và nặng khoảng 2 tạ khi trưởng thành. Bộ lông dày, sợi lông nhỏ, dài, nâu ở hông và mông, xám hay xám đen ở lưng và ngực, trắng bẩn ở bụng và mặt trong các chi. Nai đực có sừng (gạc) ba nhánh. Nhánh thứ nhất tạo với nhánh chính một góc nhọn lớn. Sừng to, thô, nhiều nhánh và nhiều đốt sần.","Sống đàn hoặc đơn, kiếm ăn đêm. Nơi xa dân cư. Nai có thể kiếm ăn cả lúc sáng sớm và chiều tối. Nai ăn các loại cỏ, lá mầm,  cây bụi, cây tái sinh và một số loại quả rừng rụng xuống. trong điều kiện nuôi Nai ăn 20 - 25 kg cỏ, lá một ngày. Nai sinh sản tập trung vào mùa thu và mùa xuân.","Nai sống nhiều sinh cảnh rừng: rừng thưa, rừng rụng lá,  rừng thứ sinh ven trảng cỏ. Mật độ cao gặp ở các vùng rừng ven suối và đồi bát úp. Nai không sống ở độ cao trên 1.000m. Khu vực sống rộng 4 - 5 km2 và ổn định."
Columba punicea,Bồ câu nâu,creature/animal/Columba_punicea.jpg,1,"Chiều dài thân: 36 - 41 cm. Con đực trưởng thành có màu lông ở đỉnh đầu và xung quanh mắt trắng bạc và màu xám ở con cái, còn ở chim non có màu nâu hung nhạt như màu lông ở cổ. Da gốc mỏ và vòng quanh mắt màu đỏ.","Thức ăn chủ yếu là các loại quả và hạt. Cho đến nay người ta chưa biết rõ quy luật di chuyển trong các vùng cư trú khác nhau của chúng. Về đặc tính sinh sản, được mô tả là chim làm tổ vào tháng 6-7 hàng năm, tổ làm trên cây nhỏ, ở bụi rậm cao hay tre, cách xa mặt đất khoảng 6m, đẻ 01 trứng, màu trắng, kích thước trứng 37,6 x 29,2mm.","Vùng cư trú đa dạng, gặp từ đai thấp tới các đai có độ cao khoảng 1.600m. Chủ yếu gặp ở rừng thường xanh nguyên sinh hay thứ sinh, nhưng đồng thời cũng gặp ở những nơi trống trải, rừng cây họ dầu, tre nứa và cả vùng trồng trọt."
Crocodylus porosus,Cá sấu Hoa Cà,creature/animal/Crocodylus_porosus.jpg,1,"Cá sấu hoa cà là loài bò sát cỡ lớn, khác biệt với cá sấu xiêm ở phần đầu, chiều dài cơ thể tới 6m. Mõm dài, có 2 gờ chạy từ mũi tới mắt, không có tấm sau chẩm. Toàn thân phủ tấm sừng, những tấm sừng trên lưng cách nhau bởi màng da. Đuôi cao, to và khỏe, phía trên có 4 gờ. Chân sau có màng bơi nối giữa các ngón. Trên lưng màu vàng và xám đen xen kẽ nhau.","Cá sấu non ăn chủ yếu tôm, cua, sâu bọ và cá nhỏ; con trưởng thành ăn thêm cả động vật có xương sống có kích cỡ phù hợp với kích thước cơ thể chúng.","Thường sống ở vùng duyên hải, ven các đảo, các cửa sông lớn hay các vùng rừng ngập mặn hoặc các đầm lầy nước lợ; nơi sống có thể mở rộng đến tận các đoạn sông có độ sâu lớn, ít chịu ảnh hưởng của thủy triều."
Elephas maximus,Voi,creature/animal/Elephas_maximus.jpg,1,"Voi là động vật có vú thuộc họ Elephantidae và là động vật trên cạn lớn nhất hiện nay.Đặc điểm nổi bật của tất cả các loài voi bao gồm cái vòi dài, cặp ngà lớn, vạt tai lớn, bốn chân to và làn da dày nhưng nhạy cảm.cá thể đực có thể cao từ 304–336 cm tới vai, với khối lượng cơ thể từ 5,2–6,9 tấn; cá thể cái có thể cao từ 247–273 cm tới vai, với khối lượng cơ thể từ 2,6–3,5 tấn.","Thức ăn là cỏ, lá cây, cành cây nhỏ, măng tre nứa, cây chuối rừng. Chu kỳ sinh sản 4 - 5 năm 1 lứa, mỗi lứa đẻ 1 con, thời gian có chửa 21 - 22 tháng. Voi sơ sinh nặng 90 -100kg. cao tới 1 mét. Tuổi sinh sản từ 15 - 50 tuổi. Tuổi thọ 80 - 90 năm hoặc hơn.","Sống ở rừng thưa, rừng thứ sinh pha tre nứa, xen lẫn các trảng cỏ trong các thung lũng hay các vùng đồi núi thấp. Độ cao phân bố lên tới 1500 - 1600m so với mặt biển."
Grus antigone,Sếu cổ trụi,creature/animal/Grus_antigone.jpg,1,"Đầu và cổ trụi lông, ở má có một đám màu xám. Có một ít lông đen ở họng và quanh gáy. Dưới cổ và toàn bộ lông còn lại màu xám ngọc trai. Lông bao cánh sơ cấp và cánh sơ cấp, cánh con có màu đen. Mỏ màu xám lục nhạt, mắt vàng cam, chân màu đỏ thịt. Da trần ở đầu và mỏ có màu đỏ giống hoa antigon.","Chúng có chế độ ăn tạp, có thể ăn các thức ăn thô thường gặp tại đầm lầy và các vùng nước nông như rễ, củ cây, côn trùng, động vật giáp xác và một số loài thú có vú nhỏ.","Chỉ sống ở các vùng đất phèn ngập nước, có cỏ năn. Xuất hiện ở đồng bằng sông Cửu Long vào mùa khô, từ tháng 10 tới tháng 3 năm sau để kiếm ăn, sau đó bay về Campuchia để sinh sản."
Hyelaphus porcinus,Hươu vàng,creature/animal/Hyelaphus_porcinus.jpg,1,"Một con hươu vàng đực trưởng thành có cân nặng xấp xỉ 50 kg, hươu cái bé hơn, khoảng 30 kg. Chúng trông rất vững vàng và khỏe khoắn với thân hình dài và chân tương đối ngắn, một đường sống lưng đi từ vai cho tới mông. Bộ lông của hươu vàng khá dày, thường có màu nâu tối vào mùa đông, trừ phần dưới của cơ thể và chân thì có màu sáng hơn. Vào cuối mùa xuân, lông của chúng đổi sang màu màu đỏ nâu đậm. Vào mùa hè, thường xuất hiện những hàng chấm nhạt màu dọc theo vằn lưng từ vai cho tới mông. Đuôi của hươu vàng khá ngắn và có màu nâu, đầu đuôi có màu trắng. Mặt bên dưới đuôi có màu trắng, con hươu dùng đoạn đuôi màu trắng của chúng để biểu thị những cảnh báo theo cách của chúng. Gạc của hươu đực trưởng thành thường có ba nhánh thuộc gạc trán có màu nâu, một gạc chính cứng cáp ở chóp các gạc. Đặc điểm khác biệt của gác hươu vàng là những góc nhọn giữa những nhánh gạc và gạc chính.","Hươu vàng sống thành bầy chỉ khi điều kiện thuận lợi và không chia thành những bầy nhỏ hơn trong thời gian đó. Khi gặp kẻ săn mồi, chúng rẽ hướng để chạy trốn chứ không chạy cùng đàn. Khi muốn báo động cho cả đàn, chúng phát ra âm thanh như tiếng huýt sáo.","Không như những loài hươu khác, hươu vàng không có kì động dục. Do vậy, mật độ sinh sống của chúng chỉ 0,1 con trên 1 km² ở những thung lũng ven sông, tăng lên 19 cá thể trên 1 km² ở đồng bằng cỏ lớn."
Leptoptilos javanicus,Già đẫy nhỏ,creature/animal/Leptoptilos_javanicus.jpg,1,"Chim trưởng thành: Mùa hè: Đầu và cổ trần, thỉnh thoảng có vài lông màu nâu. Mặt lưng, cánh và đuôi màu đen ánh lục, có một vệt rộng ánh đồng ở gần mút lông bao cánh nhỡ lớn nhất. Các lông vai dài nhất và lông cánh tam cấp viền màu trắng. Bao dưới cánh màu đen, mặt bụng trắng. Mùa đông: không có vệt ánh đồng ở cánh. Mắt màu trắng. Mỏ vàng xỉn, chóp mỏ trắng nhạt trong mùa sinh sản , gốc mỏ màu đỏ. Mặt và cổ màu vàng tươi, trong mùa sinh sản có màu phớt đỏ gạch. Da trần ở đỉnh đầu nâu nhạt. Chân lục nhạt hay đen nhạt.Chim non: Đầu và cổ có nhiều lông, không có ánh lục ở các lông màu đen.","Thức ăn chủ yếu là cá, đôi khi gặp ăn cả ếch nhái, rắn","Ở gần các vùng đầm lầy, đồng cỏ ngập nước ngọt hay khu vực sông, hồ lớn, nhiều cây cối. Thường làm tổ ở những cây to cao gần nước, làm tổ tập đoàn."
Lutra lutra,Rái cá thường,creature/animal/Lutra_lutra.jpg,1,"Rái cá thường có thân hình dài, mềm dẻo. Mõm ngắn, đầu hơi dẹp bề ngang. Có màng bơi da trần phủ hết ngón. Vuốt ngón chân dài thò ra khỏi ngón nhưng ngắn và tù. Tai nhỏ, vành tai tròn có nắp che lỗ tai. Bộ lông màu xám đến nâu hung đốm hoa râm, hơi thô; phần bụng màu xám tro, họng và má phớt trắng. Lông đệm dày không thấm nước. Dài đuôi xấp xỉ nửa dài thân, đuôi dài tròn đều nhỏ dần từ gốc đến mút đuôi. Da mũi trần có viền hình chiếc đe.","Thức ăn chủ yếu gồm cá, sau đến cua, ốc và một số động vật thủy sinh khác. Rái cá thường kiếm ăn ở các vực nước trong. Chúng có thể hoạt động cả ban ngày nếu không bị uy hiếp. Rái cá sống theo gia đình, mỗi đàn 3 - 5 con. Nhưng khi kiếm ăn chúng có thể tập trung thành đàn trên dưới 10 - 12 con.","Vùng sống và hoạt động gắn liền với các thuỷ vực (bờ biển, sông ngòi, đầm hồ, khe suối, ao) chủ yếu ở các vùng rừng núi. Rái cá đào hang làm tổ ở bờ các thuỷ vực kể trên, trong các hốc đá, hố cây hoặc sử dụng các hang đá có sẵn."
Manis pentadactyla,Tê tê vàng,creature/animal/Manis_pentadactyla.jpg,1,"Thân dài 0,2 tới 0,5m. Trọng lượng: 5 - 7kg. Không có răng, lưỡi dài nhiều chất dính. Toàn thân (trừ bụng) phủ lớp vảy sừng, vẩy sừng xếp chồng lên nhau giống như lợp ngói. Có 15 hàng vảy thân xếp theo chiều dọc, 11 - 13 hàng xếp theo chiều ngang; đuôi có 14 - 17 hàng vảy xếp theo chiều dọc, 8 hàng xếp theo chiều ngang (3 hàng ở mặt trên, 3 hàng ở mặt dưới, 2 hàng ở mép đuôi). Vẩy có màu vàng sẫm, vàng, hoặc vàng nhạt. Có những con bạch tạng do nuôi con trong hang lâu ngày. Bụng không có vẩy, da bụng dầy có lông thưa cứng. Bàn chân trước 5 ngón, 3 ngón giữa có móng (vuốt) dài và cong. Móng chân trước dài gấp 1,5 lần móng chân sau.","Thức ăn là mối, kiến, ong đất, ấu trùng (nhộng) côn trùng lẫn cả cỏ, lá cây mục. Mùa sinh sản từ tháng 1 - 3. Hoạt động kiếm ăn ban đêm, ban ngày ẩn nấp trong hang. Khi gặp nguy hiểm, cuộn tròn như quả bóng.","Sống trong rừng ẩm nhiệt đới, rừng già, rừng thứ sinh, rừng hỗn giao tre nứa gỗ, ưa thích là rừng trên đồi núi thấp có nhiều cỏ cây mục nát."
Mauremys annamensis,Rùa Trung Bộ,creature/animal/Mauremys_annamensis.jpg,1,"Rùa Trung Bộ có kích cỡ trung bình, chiều dài mai khoảng 17 cm. Mai hơi dẹp, đằng sau mai không có răng cưa, trên mai có 3 gờ chạy dọc, gờ giữa lưng là rõ nhất. Đầu màu nâu sẫm hoặc xám đen, mỗi bên có 3 sọc vàng : 1 sọc từ mũi qua ổ mắt rồi tới cổ, 1 sọc khác lớn hơn từ mũi qua ổ mắt và màng nhĩ tới cổ và 1 sọc chạy dọc phía dưới hàm tới cổ. Mai có màu xám sẫm, yếm màu vàng hay da cam, có những đốm lớn màu đen ở mỗi tấm yếm.","Thường tìm kiếm thức ăn ở những nơi nước chảy chậm hay tĩnh. Là loài ăn tạp (côn trùng, giun, cá và thực vật thuỷ sinh).","Rùa sống ở suối và đầm lầy, nơi còn hoang hóa và các khu rừng được bảo vệ tốt."
Pardofelis nebulosa,Báo gấm,creature/animal/Pardofelis_nebulosa.jpg,1,"Thú cỡ trung bình trong Họ Mèo Falidae, sau Hổ và Báo mai hoa. Báo gấm có thân hình săn chắc và cân đối, có răng nanh thuộc loại nanh dài nhất trong số các loài mèo hiện còn tồn tại. Toàn thân dài 60 tới 110 cm và cân nặng khoảng 11 – 20 kg  Điều này dẫn đến giả thuyết là chúng săn bắt những động vật có vú lớn sống trên mặt đất. Lông chúng màu nâu hay hung, có nhiều hoa vân lớn ở 2 bên lưng, các hoa văn được viền vành đen khép kín và rất nét. Nhiều vệt đen chạy dài từ giữa thân theo sống lưng xuống hết đuôi; nhiều đốm đen nhỏ ở đầu, đùi. Dọc đuôi có nhiều vòng khoanh rõ nhưng bị đứt quãng hoặc mờ ở mặt dưới đuôi.","Báo gấm chủ yếu săn bắt các loài động vật có vú sống trên cây, cụ thể là vượn, khỉ, phụ thêm vào là các động vật có vú khác như nai, nhím hay chim chóc và gia súc.Vì nguồn thức ăn chủ yếu là các động vật sống trên cây, báo gấm giỏi leo trèo. Với bốn chân ngắn và khỏe, lòng bàn chân rộng với đủ móng vuốt sắc đều nhau, tài leo cây của báo mây khó ai bì. Để giữ thăng bằng khi trên tàn cây cao, báo mây có cái đuôi với chiều dài xấp xỉ bằng cả thân. Đáng ngạc nhiên là chúng có thể di chuyển khi treo mình lộn ngược đầu xuống, phía dưới các cành cây và các thân cây nghiêng.","Báo gấm sống và hoạt động chủ yếu ở rừng cây gỗ cao vùng rừng núi đất, hoặc các thung lũng núi đá. Báo sống độc thân, có lúc đi đôi, hoạt động ban đêm, leo trèo giỏi."
Ophiophagus hannah,Rắn hổ mang chúa,creature/animal/Ophiophagus_hannah.jpg,1,"Là loài rắn độc thuộc họ Elapidae (họ Rắn hổ), hổ mang chúa là loài rắn độc dài nhất thế giới với cá thể dài nhất từng được ghi nhận là 5,85 m. Rắn trưởng thành đạt trung bình với chiều dài khoảng 3,65 đến 5,2 m (12,0 đến 17,1 ft) và cân nặng khoảng 15–35 kg.Rắn hổ mang chúa là loài dị hình giới tính, với con đực lớn hơn. Chiều dài và khối lượng của loài rắn này phụ thuộc vào môi trường sống cùng vài yếu tố khác. Mặc dù có kích thước to lớn, rắn hổ mang chúa rất nhanh nhẹn và linh hoạt.","Chúng leo cây và bơi rất giỏi, nhưng thường sống ở mặt đất. Kiếm ăn cả ban ngày lẫn ban đêm, thức ăn chủ yếu gồm những loài rắn khác hoặc đôi khi cả những loài thằn lằn. Rắn hổ chúa là loài rắn độc dữ tợn và chủ động tấn công người. Khi tấn công chúng thường dựng phần trước cơ thể.","Thường sống ở trung du và miền núi, sống trong rừng, đồi cây, thậm chí trong bụi tre làng, sống trong những hang dưới những gốc cây lớn trong rừng, bên bờ suối."
Panthera tigris,Hổ,creature/animal/Panthera_tigris.jpg,1,"Hổ là một loài động vật lớn nhất trong họ nhà Mèo và là động vật lớn thứ ba trong các loài thú ăn thịt. Hổ có thân hình vạm vỡ với chân trước mạnh mẽ, đầu to và đuôi dài khoảng một nửa cơ thể. Xương chậu của nó dày và nặng, và màu sắc khác nhau giữa các sắc thái của màu cam và màu nâu với các vùng bụng màu trắng và các sọc đen dọc đặc biệt là duy nhất ở mỗi cá thể. Thông thường, con hổ đực khác nhau về tổng chiều dài từ 250 đến 390 cm và nặng từ 90 đến 306 kg. Con cái khác nhau về tổng chiều dài từ 200 đến 275 cm, nặng từ 65 đến 167 kg.","Thức ăn gồm nhiều loài thú rừng và gia súc. Hổ có vùng hoạt động rất lớn. Chúng không sống cố định, thường hoạt động di chuyển trong vùng rừng của 2 - 3 tỉnh kế cận, hoạt động ban đêm.","Hổ sống và hoạt động ở vùng rừng núi với các kiểu rừng, kể cả vùng cây bụi lau lách, trảng cỏ tranh trong rừng."
